,name,pn_bar,tfluid_k,height_m,in_service,type
382,Junction_20195_supply,10.0,359.3562478951201,0.0,True,junction
383,Junction_20195_return,8.0,308.15,0.0,True,junction
384,Junction_20230_supply,10.0,359.3562478951201,0.0,True,junction
385,Junction_20230_return,8.0,308.15,0.0,True,junction
386,Junction_20234_supply,10.0,359.3562478951201,0.0,True,junction
387,Junction_20234_return,8.0,308.15,0.0,True,junction
388,Junction_20237_supply,10.0,359.3562478951201,0.0,True,junction
389,Junction_20237_return,8.0,308.15,0.0,True,junction
390,Junction_20306_supply,10.0,359.3562478951201,0.0,True,junction
391,Junction_20306_return,8.0,308.15,0.0,True,junction
392,Junction_20377_supply,10.0,359.3562478951201,0.0,True,junction
393,Junction_20377_return,8.0,308.15,0.0,True,junction
394,Junction_20655_supply,10.0,359.3562478951201,0.0,True,junction
395,Junction_20655_return,8.0,308.15,0.0,True,junction
396,Junction_20656_supply,10.0,359.3562478951201,0.0,True,junction
397,Junction_20656_return,8.0,308.15,0.0,True,junction
398,Junction_20659_supply,10.0,359.3562478951201,0.0,True,junction
399,Junction_20659_return,8.0,308.15,0.0,True,junction
400,Junction_20663_supply,10.0,359.3562478951201,0.0,True,junction
401,Junction_20663_return,8.0,308.15,0.0,True,junction
402,Junction_20664_supply,10.0,359.3562478951201,0.0,True,junction
403,Junction_20664_return,8.0,308.15,0.0,True,junction
404,Junction_20691_supply,10.0,359.3562478951201,0.0,True,junction
405,Junction_20691_return,8.0,308.15,0.0,True,junction
406,Junction_20761_supply,10.0,359.3562478951201,0.0,True,junction
407,Junction_20761_return,8.0,308.15,0.0,True,junction
408,Junction_20819_supply,10.0,359.3562478951201,0.0,True,junction
409,Junction_20819_return,8.0,308.15,0.0,True,junction
410,Junction_21263_supply,10.0,359.3562478951201,0.0,True,junction
411,Junction_21263_return,8.0,308.15,0.0,True,junction
412,Junction_21264_supply,10.0,359.3562478951201,0.0,True,junction
413,Junction_21264_return,8.0,308.15,0.0,True,junction
414,Junction_21265_supply,10.0,359.3562478951201,0.0,True,junction
415,Junction_21265_return,8.0,308.15,0.0,True,junction
416,Junction_21321_supply,10.0,359.3562478951201,0.0,True,junction
417,Junction_21321_return,8.0,308.15,0.0,True,junction
418,Junction_21554_supply,10.0,359.3562478951201,0.0,True,junction
419,Junction_21554_return,8.0,308.15,0.0,True,junction
420,Junction_21636_supply,10.0,359.3562478951201,0.0,True,junction
421,Junction_21636_return,8.0,308.15,0.0,True,junction
422,Junction_21644_supply,10.0,359.3562478951201,0.0,True,junction
423,Junction_21644_return,8.0,308.15,0.0,True,junction
424,Junction_21646_supply,10.0,359.3562478951201,0.0,True,junction
425,Junction_21646_return,8.0,308.15,0.0,True,junction
426,Junction_21783_supply,10.0,359.3562478951201,0.0,True,junction
427,Junction_21783_return,8.0,308.15,0.0,True,junction
428,Junction_21896_supply,10.0,359.3562478951201,0.0,True,junction
429,Junction_21896_return,8.0,308.15,0.0,True,junction
430,Junction_22022_supply,10.0,359.3562478951201,0.0,True,junction
431,Junction_22022_return,8.0,308.15,0.0,True,junction
432,Junction_22039_supply,10.0,359.3562478951201,0.0,True,junction
433,Junction_22039_return,8.0,308.15,0.0,True,junction
434,Junction_22041_supply,10.0,359.3562478951201,0.0,True,junction
435,Junction_22041_return,8.0,308.15,0.0,True,junction
436,Junction_22045_supply,10.0,359.3562478951201,0.0,True,junction
437,Junction_22045_return,8.0,308.15,0.0,True,junction
438,Junction_22175_supply,10.0,359.3562478951201,0.0,True,junction
439,Junction_22175_return,8.0,308.15,0.0,True,junction
440,Junction_22540_supply,10.0,359.3562478951201,0.0,True,junction
441,Junction_22540_return,8.0,308.15,0.0,True,junction
442,Junction_22919_supply,10.0,359.3562478951201,0.0,True,junction
443,Junction_22919_return,8.0,308.15,0.0,True,junction
444,Junction_23337_supply,10.0,359.3562478951201,0.0,True,junction
445,Junction_23337_return,8.0,308.15,0.0,True,junction
446,Junction_23339_supply,10.0,359.3562478951201,0.0,True,junction
447,Junction_23339_return,8.0,308.15,0.0,True,junction
